plate,state,license_type,summons_number,issue_date,hour,min,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,borough,issuing_agency,violation_status,summons_image,weekday,year,month,day,address,vehicle_body_type,vehicle_year,latitude,longitude
JLR8749,NY,PAS,8901611314,2021-10-21,15,06P,FIRE HYDRANT,NA,115,0,0,0,0,115,115,Queens,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwMVVXWGhOVkUxNFRrRTlQUT09&locationName=_____________________),Thursday,2021,10,21,"37-20 81st St ,   , NY",SUBN,2019,40.7489953,-73.8853682
KSC4854,NY,PAS,8904602865,2021-10-23,8,36A,FIRE HYDRANT,NA,115,0,0,0,0,115,052,Bronx,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwNUVXWGROYW1jeVRsRTlQUT09&locationName=_____________________),Saturday,2021,10,23,"E University Ave ,  2ft N/of W Kingsbrid , NY",SUBN,2014,40.8523165,-73.9136077
KGJ2535,NY,PAS,8906123050,2021-10-23,11,06A,FIRE HYDRANT,NA,115,0,0,0,0,115,062,Brooklyn,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwNXFSWGxOZWtFeFRVRTlQUT09&locationName=_____________________),Saturday,2021,10,23,"N 67th St ,  45ft W/of 19th Ave , NY",SUBN,2018,40.6266975,-74.0058375
HXH3408,NY,PAS,8906606280,2021-10-06,8,07A,FIRE HYDRANT,NA,115,0,0,0,0,115,079,Brooklyn,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwNXFXWGRPYWtrMFRVRTlQUT09&locationName=_____________________),Wednesday,2021,10,6,"511 Willoughby Ave ,   , NY",4DSD,2007,40.6940214,-73.9492394
KME4502,NY,PAS,8907745973,2021-10-22,8,51A,FIRE HYDRANT,NA,115,0,0,0,0,115,109,Queens,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwNTZZekJPVkdzelRYYzlQUT09&locationName=_____________________),Friday,2021,10,22,"141-02 Cherry Ave ,   , NY",4DSD,2012,40.754564,-73.821427
KRS8307,NY,PAS,8947041889,2021-10-11,10,00A,FIRE HYDRANT,NA,115,0,0,0,115,0,020,Manhattan,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1FNTZRVEJOVkdjMFQxRTlQUT09&locationName=_____________________),Monday,2021,10,11,"2 W 67th St ,   , NY",4DSD,2011,40.7730987,-73.9789029
KDV1199,NY,PAS,8918185583,2021-10-02,6,33A,FIRE HYDRANT,NA,115,0,0,0,0,115,001,Manhattan,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFOUVSVFJPVkZVMFRYYzlQUT09&locationName=_____________________),Saturday,2021,10,2,"S John St ,  5ft E/of Gold St , NY",SUBN,2010,40.7079237,-74.0057648
KSP1995,NY,PAS,8879595957,2021-09-15,6,59A,FIRE HYDRANT,NA,115,0,0,0,115,0,110,Queens,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk0wOVVWVFZPVkdzeFRuYzlQUT09&locationName=_____________________),Wednesday,2021,9,15,"51-17 99th St ,   , NY",SUBN,2008,40.7412357,-73.8613063
KJH3824,NY,PAS,8903419625,2021-07-17,24,45P,FIRE HYDRANT,NA,115,0,0,0,115,0,114,Queens,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwMTZVWGhQVkZsNVRsRTlQUT09&locationName=_____________________),Saturday,2021,7,17,"28-10 Steinway St ,   , NY",4DSD,2001,40.765282,-73.914163
KJE7544,NY,PAS,8941779480,2021-07-01,6,33A,FIRE HYDRANT,NA,115,0,0,0,0,115,032,Manhattan,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1FMVVZek5QVkZFMFRVRTlQUT09&locationName=_____________________),Thursday,2021,7,1,"W Bradhurst Ave ,  65ft S/of W 145th St , NY",4DSD,2007,40.8257929,-73.9410556
KJE7544,NY,PAS,8941879784,2021-07-06,6,52A,FIRE HYDRANT,NA,115,0,0,0,0,115,032,Manhattan,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1FMVVaek5QVkdNMFRrRTlQUT09&locationName=_____________________),Tuesday,2021,7,6,"300 W 145th St ,   , NY",4DSD,2007,40.8228868,-73.942591
GNB1518,NY,PAS,8943503027,2021-09-30,13,51P,FIRE HYDRANT,NA,115,0,0,0,0,115,019,Manhattan,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1FMTZWWGROZWtGNVRuYzlQUT09&locationName=_____________________),Thursday,2021,9,30,"177 E 71st St ,   , NY",SUBN,2019,40.769556,-73.961689
KRS9040,NY,PAS,8945425044,2021-08-17,7,54A,FIRE HYDRANT,NA,115,0,0,0,0,115,028,Manhattan,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1FNVVVWGxPVkVFd1RrRTlQUT09&locationName=_____________________),Tuesday,2021,8,17,"25 Lenox Ave ,   , NY",PICK,2018,40.7992268,-73.9520607
KKE9716,NY,PAS,8946744108,2021-09-09,14,56P,FIRE HYDRANT,NA,115,0,0,0,0,115,023,Manhattan,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1FNXFZekJPUkVWM1QwRTlQUT09&locationName=_____________________),Thursday,2021,9,9,"35 E 106th St ,   , NY",PICK,2014,40.7939186,-73.9496841
KJE7544,NY,PAS,8949938030,2021-07-01,13,44P,FIRE HYDRANT,NA,115,0,0,0,0,115,032,Manhattan,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1FOVVhM3BQUkVGNlRVRTlQUT09&locationName=_____________________),Thursday,2021,7,1,"W Bradhurst Ave ,  65ft S/of W 145th St , NY",4DSD,2007,40.8257929,-73.9410556
HMY3385,NY,PAS,8951823477,2021-08-12,9,10A,FIRE HYDRANT,NA,115,0,0,0,0,115,019,Manhattan,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VMVVaM2xOZWxFelRuYzlQUT09&locationName=_____________________),Thursday,2021,8,12,"179 E 93rd St ,   , NY",PICK,2017,40.7838044,-73.9513891
KJE7544,NY,PAS,8956269660,2021-07-22,0,30A,FIRE HYDRANT,NA,115,0,0,0,0,115,032,Manhattan,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VNXFTVEpQVkZreVRVRTlQUT09&locationName=_____________________),Thursday,2021,7,22,"258 W 153rd St ,   , NY",4DSD,2007,40.827311,-73.937506
KGW4422,NY,PAS,8667391992,2021-08-13,8,19A,FIRE HYDRANT,NA,115,0,0,0,115,0,114,Queens,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk1rNTZUVFZOVkdzMVRXYzlQUT09&locationName=_____________________),Friday,2021,8,13,"11-09 30th Dr ,   , NY",4DSD,2017,40.7704005,-73.9339341
JJZ2142,NY,PAS,8856883028,2021-08-17,7,58A,FIRE HYDRANT,NA,115,0,0,0,115,0,109,Queens,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VNXFaelJOZWtGNVQwRTlQUT09&locationName=_____________________),Tuesday,2021,8,17,"141-25 Booth Memorial Ave ,   , NY",4DSD,2006,40.7461708,-73.8237354
KLE4142,NY,PAS,8949989610,2021-08-13,14,26P,FIRE HYDRANT,NA,115,0,0,0,115,0,034,Manhattan,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1FOVVhelJQVkZsNFRVRTlQUT09&locationName=_____________________),Friday,2021,8,13,"65 Wadsworth Ter ,   , NY",4DSD,2001,40.8566829,-73.931308
JCB5031,NY,PAS,8996938476,2021-09-14,23,19P,FIRE HYDRANT,NA,115,0,0,0,0,115,072,Brooklyn,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNXFhM3BQUkZFelRtYzlQUT09&locationName=_____________________),Tuesday,2021,9,14,"351 20th St ,   , NY",4DSD,2021,40.6598333,-73.9890978
JMA4690,NY,PAS,2001936205,2021-07-24,7,41A,FIRE HYDRANT,NA,115,0,0,115,0,0,045,Bronx,DEPARTMENT OF SANITATION,ADMIN CLAIM GRANTED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmQwMVVhM3BPYWtsM1RsRTlQUT09&locationName=_____________________),Saturday,2021,7,24,"1855 MAYFLOWER AVENUE ,   , NY",SUBN,2020,40.8489861,-73.834348
KLW2888,NY,PAS,1472314440,2021-08-14,6,45A,FIRE HYDRANT,NA,115,0,0,115,0,0,110,Queens,POLICE DEPARTMENT,ADMIN CLAIM GRANTED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMXFUWGhPUkZFd1RVRTlQUT09&locationName=_____________________),Saturday,2021,8,14,"42-20 82 ST ,   , NY",SDN,0,40.7422922,-73.8833535
JBD7654,NY,PAS,1474329962,2021-09-12,2,36A,FIRE HYDRANT,NA,115,0,0,115,0,0,030,Manhattan,POLICE DEPARTMENT,ADMIN CLAIM GRANTED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wNUVUWGxQVkdzeVRXYzlQUT09&locationName=_____________________),Sunday,2021,9,12,"635 RIVERSIDE DRIVE ,   , NY",SDN,2021,40.8244952,-73.9541903
GMF7758,NY,PAS,1481702683,2021-08-26,0,19A,FIRE HYDRANT,NA,115,0,0,115,0,0,070,Brooklyn,POLICE DEPARTMENT,ADMIN CLAIM GRANTED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FMVVZM2ROYWxrMFRYYzlQUT09&locationName=_____________________),Thursday,2021,8,26,"845 SETON PLACE ,   , NY",VAN,0,40.6304616,-73.975218
HXH4548,NY,PAS,1484259427,2021-08-31,19,10P,FIRE HYDRANT,NA,115,0,0,115,0,0,033,Manhattan,POLICE DEPARTMENT,ADMIN CLAIM GRANTED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FNUVTVEZQVkZGNVRuYzlQUT09&locationName=_____________________),Tuesday,2021,8,31,"498 W 158 ST ,   , NY",NA,2019,40.833299,-73.941447
JSE2721,NY,PAS,1484372542,2021-08-27,8,47A,FIRE HYDRANT,NA,115,0,0,115,0,0,000,Queens,POLICE DEPARTMENT,ADMIN CLAIM GRANTED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FNUVUVE5OYWxVd1RXYzlQUT09&locationName=_____________________),Friday,2021,8,27,"73-41 52 DRIVE ,   , NY",NA,0,40.7327295,-73.8888828
KGR8107,NY,PAS,1473977083,2021-10-15,1,12A,FIRE HYDRANT,NA,115,0,0,115,0,0,050,Bronx,POLICE DEPARTMENT,ADMIN CLAIM GRANTED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMTZhek5PZWtFMFRYYzlQUT09&locationName=_____________________),Friday,2021,10,15,"3241 CORLEAR ,   , NY",NA,2009,40.8825133,-73.9057632
KFP6486,NY,PAS,1485486063,2021-09-18,3,51A,FIRE HYDRANT,NA,115,0,0,115,0,0,071,Brooklyn,POLICE DEPARTMENT,ADMIN CLAIM GRANTED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FNVVVVFJPYWtFeVRYYzlQUT09&locationName=_____________________),Saturday,2021,9,18,"466 MIDWOOD STREET ,   , NY",SUBN,2016,40.6603308,-73.9450497
36BG90,NY,PAS,2000667508,2021-09-30,8,57A,FIRE HYDRANT,NA,115,0,0,115,0,0,017,Manhattan,DEPARTMENT OF SANITATION,ADMIN CLAIM GRANTED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmQwMUVXVEpPZWxWM1QwRTlQUT09&locationName=_____________________),Thursday,2021,9,30,"453 EAST 58 STREET ,   , NY",MOPD,0,40.7582907,-73.9602516
HDD2484,NY,PAS,2003256325,2021-08-11,9,22A,FIRE HYDRANT,NA,115,0,0,115,0,0,110,Queens,DEPARTMENT OF SANITATION,ADMIN CLAIM GRANTED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmQwMTZTVEZPYWsxNVRsRTlQUT09&locationName=_____________________),Wednesday,2021,8,11,"104-29 47 AVENUE ,   , NY",4DSD,0,40.7461922,-73.8585641
KGF4360,NY,PAS,1485416437,2021-09-30,13,50P,FIRE HYDRANT,NA,115,0,0,115,0,0,066,Brooklyn,POLICE DEPARTMENT,ADMIN CLAIM GRANTED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FNVVVWGhPYWxGNlRuYzlQUT09&locationName=_____________________),Thursday,2021,9,30,"4002 FT HAMILTON PKWY ,   , NY",SDN,2020,40.6427149,-73.9922313
21BG96,NY,PAS,1481920595,2021-09-15,1,09A,FIRE HYDRANT,NA,115,0,0,115,0,0,108,Queens,POLICE DEPARTMENT,ADMIN CLAIM GRANTED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FMVVhM2xOUkZVMVRsRTlQUT09&locationName=_____________________),Wednesday,2021,9,15,"55-08 37 AVENUE ,   , NY",NA,2021,40.7505516,-73.906789
LCJ7877,NY,PAS,1483109320,2021-10-13,3,23A,FIRE HYDRANT,NA,115,0,0,115,0,0,043,Bronx,POLICE DEPARTMENT,ADMIN CLAIM GRANTED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FMTZSWGRQVkUxNVRVRTlQUT09&locationName=_____________________),Wednesday,2021,10,13,"2245 RANDALL AVE ,   , NY",SDN,2011,40.8198592,-73.8468901
JPJ6922,NY,PAS,1448011310,2021-07-23,12,53A,FIRE HYDRANT,NA,115,0,0,115,0,0,000,Queens,POLICE DEPARTMENT,ADMIN CLAIM GRANTED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1FOUVRWGhOVkUxNFRVRTlQUT09&locationName=_____________________),Friday,2021,7,23,"153-39 ARLINGTON TERR ,   , NY",NA,2020,40.693232,-73.7978399
BB69MX,NY,PAS,1471719042,2021-09-06,23,12P,FIRE HYDRANT,NA,115,0,0,115,0,0,105,Queens,POLICE DEPARTMENT,ADMIN CLAIM GRANTED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMVVZM2hQVkVFd1RXYzlQUT09&locationName=_____________________),Monday,2021,9,6,"145-15 220 STREET ,   , NY",SUBN,0,40.664006,-73.758032
CHU2374,NY,PAS,1472276486,2021-09-19,19,20P,FIRE HYDRANT,NA,115,0,0,115,0,0,110,Queens,POLICE DEPARTMENT,ADMIN CLAIM GRANTED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMXFTVE5PYWxFMFRtYzlQUT09&locationName=_____________________),Sunday,2021,9,19,"41-17 JUDGE ST ,   , NY",SUBN,0,40.745705,-73.883077
KLX3567,NY,PAS,1471771192,2021-10-03,13,00P,FIRE HYDRANT,NA,115,0,0,115,0,0,106,Queens,POLICE DEPARTMENT,ADMIN CLAIM GRANTED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMVVZek5OVkVVMVRXYzlQUT09&locationName=_____________________),Sunday,2021,10,3,"106-06 ROCKAWAY BLVD ,   , NY",NA,2018,40.6783754,-73.8327794
