plate,state,license_type,summons_number,issue_date,hour,min,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,borough,issuing_agency,violation_status,summons_image,weekday,year,month,day,address,latitude,longitude
HRS3984,NY,PAS,8916934448,2021-10-13,13,57P,INSP. STICKER-EXPIRED/MISSING,NA,65,0,0,0,0,65,100,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNXFhM3BPUkZFd1QwRTlQUT09&locationName=_____________________),Wednesday,2021,10,13,"565 Beach 63rd St ,   , NY",40.5970829,-73.7930185
JSE8748,NY,PAS,8977338219,2021-10-13,9,48A,INSP. STICKER-EXPIRED/MISSING,NA,65,0,0,0,0,65,078,Brooklyn,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wNTZUWHBQUkVsNFQxRTlQUT09&locationName=_____________________),Wednesday,2021,10,13,"677 Union St ,   , NY",40.677341,-73.982215
KDA1700,NY,PAS,8976967021,2021-10-10,7,15A,NO STANDING-BUS STOP,NA,115,0,0,0,0,115,067,Brooklyn,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wNXFhekpPZWtGNVRWRTlQUT09&locationName=_____________________),Sunday,2021,10,10,"659 Rogers Ave ,   , NY",40.6554491,-73.9527782
HPB8784,NY,PAS,8806420550,2021-07-21,9,06A,FAIL TO DSPLY MUNI METER RECPT,NA,35,0,0,0,35,0,115,Queens,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmQwNXFVWGxOUkZVeFRVRTlQUT09&locationName=_____________________),Wednesday,2021,7,21,"37-57 82nd St ,   , NY",40.7481322,-73.8837837
JSC2259,NY,PAS,8909223730,2021-08-06,5,48A,NO STANDING-DAY/TIME LIMITS,NA,115,0,0,0,0,115,010,Manhattan,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwOVVTWGxOZW1ONlRVRTlQUT09&locationName=_____________________),Friday,2021,8,6,"N W 26th St ,  50ft W/of 9th Ave , NY",40.7475915,-73.9980082
DFJ7621,NY,PAS,8991170195,2021-07-19,11,50A,FAIL TO DSPLY MUNI METER RECPT,NA,35,0,0,35,0,0,090,Brooklyn,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VMVVSVE5OUkVVMVRsRTlQUT09&locationName=_____________________),Monday,2021,7,19,"301 Broadway ,   , NY",40.7152627,-74.005844
KGS8639,NY,PAS,8919576385,2021-07-10,16,43P,FAIL TO DSPLY MUNI METER RECPT,NA,65,0,0,65,0,0,006,Manhattan,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFOVVWVE5PYWswMFRsRTlQUT09&locationName=_____________________),Saturday,2021,7,10,"184 7th Ave S ,   , NY",40.7362124,-74.0015445
KLY7320,NY,PAS,1478654867,2021-09-14,3,12A,NO STANDING-EXC. TRUCK LOADING,NA,95,0,0,0,0,95,062,Brooklyn,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wOUVXVEZPUkdjeVRuYzlQUT09&locationName=_____________________),Tuesday,2021,9,14,"1779 81 ST ,   , NY",40.6102376,-73.9996824
HWW8451,NY,PAS,8848629519,2021-06-29,8,14A,NO PARKING-STREET CLEANING,NA,65,0,0,65,0,0,112,Queens,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FOUVXWGxQVkZWNFQxRTlQUT09&locationName=_____________________),Tuesday,2021,6,29,"S 98th St ,  5ft E/of 63rd Dr , NY",40.748931,-73.8672459
KHT4694,NY,PAS,8996525212,2021-09-23,1,59A,NO PARKING-STREET CLEANING,NA,65,0,0,0,0,65,094,Brooklyn,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNXFWWGxPVkVsNFRXYzlQUT09&locationName=_____________________),Thursday,2021,9,23,"210 N 12th St ,   , NY",40.7198085,-73.9538426
JFJ5079,NY,PAS,8848233170,2021-07-28,15,45P,REG. STICKER-EXPIRED/MISSING,NA,65,0,0,0,0,65,113,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FOUVTWHBOZWtVelRVRTlQUT09&locationName=_____________________),Wednesday,2021,7,28,"161-29 121st Ave ,   , NY",40.6798205,-73.7811873
JHL4577,NY,PAS,8975181480,2021-09-21,7,24A,FIRE HYDRANT,NA,115,0,0,0,0,115,062,Brooklyn,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wNVVSVFJOVkZFMFRVRTlQUT09&locationName=_____________________),Tuesday,2021,9,21,"1745 79th St ,   , NY",40.6119691,-73.9994274
KKZ5578,NY,PAS,1484394793,2021-09-27,3,10A,FIRE HYDRANT,NA,115,0,0,0,0,115,104,Queens,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FNUVUVFZPUkdNMVRYYzlQUT09&locationName=_____________________),Monday,2021,9,27,"1727 STANHOPE ST ,   , NY",40.706532,-73.9148213
JSF7976,NY,PAS,8836376319,2021-10-04,9,14A,FRONT OR BACK PLATE MISSING,NA,65,0,0,0,0,65,106,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNXFUVE5PYWsxNFQxRTlQUT09&locationName=_____________________),Monday,2021,10,4,"10312 88th St ,   , NY",40.6802863,-73.8517623
HPY5588,NY,PAS,8910222128,2021-09-29,24,32P,REG. STICKER-EXPIRED/MISSING,NA,65,0,0,0,0,65,014,Manhattan,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFMUVTWGxOYWtWNVQwRTlQUT09&locationName=_____________________),Wednesday,2021,9,29,"461 Park Ave South ,   , NY",40.7451787,-73.9823329
KDW7456,NY,PAS,8848238452,2021-08-17,15,16P,REG. STICKER-EXPIRED/MISSING,NA,65,0,0,0,0,65,107,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FOUVTWHBQUkZFeFRXYzlQUT09&locationName=_____________________),Tuesday,2021,8,17,"W 150th St ,  60ft N/of 78th Rd , NY",40.8277802,-73.9437993
KLJ6342,NY,PAS,8967794277,2021-09-17,6,23A,NO PARKING-DAY/TIME LIMITS,NA,60,0,0,0,0,60,046,Bronx,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rNTZZelZPUkVrelRuYzlQUT09&locationName=_____________________),Friday,2021,9,17,"W Matthewson Rd ,  60ft N/of W Tremont , NY",40.8530938,-73.9210666
HKM4029,NY,PAS,8985524630,2021-08-13,8,51A,REG. STICKER-EXPIRED/MISSING,NA,65,0,0,0,0,65,103,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FNVVWWGxPUkZsNlRVRTlQUT09&locationName=_____________________),Friday,2021,8,13,"S 89th Ave ,  10ft E/of 153rd St , NY",40.7105459,-73.7871163
JNB7519,NY,PAS,8892733692,2021-09-16,10,22A,FAIL TO DSPLY MUNI METER RECPT,NA,35,0,0,0,0,35,102,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5VMXFZM3BOZWxrMVRXYzlQUT09&locationName=_____________________),Thursday,2021,9,16,"102-13 Jamaica Ave ,   , NY",40.6958806,-73.8454097
KNY2061,NY,PAS,8899736443,2021-10-05,15,00P,NO PARKING-DAY/TIME LIMITS,NA,65,0,0,0,0,65,006,Manhattan,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5VOVVZM3BPYWxFd1RYYzlQUT09&locationName=_____________________),Tuesday,2021,10,5,"353 W 12th St ,   , NY",40.7376429,-74.0074526
HXS5856,NY,PAS,4019678728,2021-09-23,18,40P,BUS LANE VIOLATION,NA,50,0,0,0,50,0,000,Queens,DEPARTMENT OF TRANSPORTATION,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmVFOVVXVE5QUkdONVQwRTlQUT09&locationName=_____________________),Thursday,2021,9,23,"0 NB MAIN ST @ 39TH AV ,  E , NY",40.7602646,-73.8304856
AJH9918,NY,PAS,8983721054,2021-07-24,24,48P,INSP. STICKER-EXPIRED/MISSING,NA,65,0,0,0,0,65,068,Brooklyn,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FMTZZM2xOVkVFeFRrRTlQUT09&locationName=_____________________),Saturday,2021,7,24,"8922 3rd Ave ,   , NY",40.6209066,-74.0323646
JFH3983,NY,PAS,8902528236,2021-09-27,24,15P,NO STANDING-BUS STOP,NA,115,0,0,0,0,115,103,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwMXFWWGxQUkVsNlRtYzlQUT09&locationName=_____________________),Monday,2021,9,27,"S Jamaica Ave ,  20ft E/of 138th St , NY",40.7024454,-73.8124855
HTP4588,NY,PAS,2002569848,2021-07-13,7,25A,NO STANDING-DAY/TIME LIMITS,NA,115,0,0,0,0,115,108,Queens,DEPARTMENT OF SANITATION,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmQwMXFWVEpQVkdjd1QwRTlQUT09&locationName=_____________________),Tuesday,2021,7,13,"0 S/S of 38 AVENUE 20' ,  W/O 56 STREET , NY",40.7528239,-73.930788
HTY6796,NY,PAS,8915424451,2021-08-12,7,18A,NO STANDING-DAY/TIME LIMITS,NA,115,0,0,0,0,115,013,Manhattan,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNVVVWGxPUkZFeFRWRTlQUT09&locationName=_____________________),Thursday,2021,8,12,"10 E 29th St ,   , NY",40.7447841,-73.986174
GEB7884,NY,PAS,8901140834,2021-07-15,6,05A,NO MATCH-PLATE/STICKER,NA,65,0,0,0,0,65,103,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwMVVSVEJOUkdkNlRrRTlQUT09&locationName=_____________________),Thursday,2021,7,15,"147-16 97th Ave ,   , NY",40.6974022,-73.8051234
JPE4239,NY,PAS,5116387811,2021-08-05,24,54P,FAILURE TO STOP AT RED LIGHT,NA,50,25,0,0,75,0,000,Queens,DEPARTMENT OF TRANSPORTATION,HEARING ADJOURNMENT,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVFNXFUVFJPZW1kNFRWRTlQUT09&locationName=_____________________),Thursday,2021,8,5,"0 WOODHAVEN BLVD (N/B) ,  @ 62ND RD , NY",40.7067924,-73.859039
JPU7111,NY,PAS,8969218269,2021-07-17,9,38A,INSP. STICKER-EXPIRED/MISSING,NA,65,0,0,0,65,0,044,Bronx,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rOVVTWGhQUkVreVQxRTlQUT09&locationName=_____________________),Saturday,2021,7,17,"1111 Gerard Ave ,   , NY",40.8337088,-73.9216073
KME1536,NY,PAS,4017945909,2021-06-29,24,19P,BUS LANE VIOLATION,NA,50,0,0,0,50,0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmVFNTZhekJPVkd0M1QxRTlQUT09&locationName=_____________________),Tuesday,2021,6,29,"0 WB CHURCH AVE @ E 8T ,  H ST , NY",40.6458674,-73.972086
