plate,state,license_type,summons_number,issue_date,hour,min,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,borough,issuing_agency,violation_status,summons_image,weekday,year,month,day,vehicle_body_type,vehicle_year,house_street,geo_nyc_address,google_address,new_url,coordinates,lat,long
HGU4090,NY,PAS,1472526752,2021-01-04,7,03A,FIRE HYDRANT,NA,115,0,0,0,0,115,112,Queens,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMXFWWGxPYW1NeFRXYzlQUT09&locationName=_____________________),Monday,2021,1,4,NA,NA,NA,"S E 177TH STREET, 10FT S/OF E HOUSTON,QUEENS","S E 177th St,10ft S/of E Houston,QUEENS,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=S E 177TH STREET, 10FT S/OF E HOUSTON,QUEENS&size=50",,40.831964,-73.857628
KFT7037,NY,PAS,1472679003,2021-03-29,11,27A,FIRE HYDRANT,NA,115,0,0,0,0,115,062,Brooklyn,DEPARTMENT OF SANITATION,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMXFXVE5QVkVGM1RYYzlQUT09&locationName=_____________________),Monday,2021,3,29,NA,NA,NA,"37-56 74TH STREET, 35FT S/OF 35TH AVENUE, BROOKLYN","37-56 74th St,35ft S/of 35th Ave,BROOKLYN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=37-56 74TH STREET, 35FT S/OF 35TH AVENUE, BROOKLYN&size=50",,40.747336,-73.89175
HNA9461,NY,PAS,1472707059,2021-06-06,21,22P,FIRE HYDRANT,NA,115,0,0,0,0,115,070,Brooklyn,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMXFZM2RPZWtFeFQxRTlQUT09&locationName=_____________________),Sunday,2021,6,6,NA,NA,NA,"351 99TH STREET, E,BROOKLYN","351 99th St,E,BROOKLYN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=351 99TH STREET, E,BROOKLYN&size=50",,40.613689,-74.033465
KHH6847,NY,PAS,1472806463,2021-09-24,12,20A,FIRE HYDRANT,NA,115,0,0,0,0,115,068,Brooklyn,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMXFaM2RPYWxFeVRYYzlQUT09&locationName=_____________________),Friday,2021,9,24,SUBN,2004,6818 COLONIAL ROAD,"1318 SOUTHERN BOULEVARD, 0FT W/OF BROADWAY,BROOKLYN","1318 Southern Blvd,0ft W/of Broadway,BROOKLYN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=1318 SOUTHERN BOULEVARD, 0FT W/OF BROADWAY,BROOKLYN&size=50",,40.83135,-73.89096
KHV2818,NY,PAS,1472850397,2021-09-24,8,48A,FIRE HYDRANT,NA,115,0,0,0,0,115,078,Brooklyn,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMXFaekZOUkUwMVRuYzlQUT09&locationName=_____________________),Friday,2021,9,24,SUBN,2019,527 DEAN ST,"2043 CRESTON AVENUE, 75FT N/OF HARRISON S,BROOKLYN","2043 Creston Ave,75ft N/of Harrison S,BROOKLYN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=2043 CRESTON AVENUE, 75FT N/OF HARRISON S,BROOKLYN&size=50",,40.852763,-73.905171
HVK8686,NY,PAS,1472910990,2021-01-03,8,33A,FIRE HYDRANT,NA,115,0,0,0,0,115,069,Brooklyn,POLICE DEPARTMENT,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMXFhM2hOUkdzMVRVRTlQUT09&locationName=_____________________),Sunday,2021,1,3,NA,NA,NA,"32-34 54TH STREET, 0FT N/OF WARREN ST,BROOKLYN","32-34 54th St,0ft N/of Warren St,BROOKLYN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=32-34 54TH STREET, 0FT N/OF WARREN ST,BROOKLYN&size=50",,40.754408,-73.907119
KFP7609,NY,PAS,1472955481,2021-04-08,12,15A,FIRE HYDRANT,NA,115,0,0,0,0,115,063,Brooklyn,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMXFhekZPVkZFMFRWRTlQUT09&locationName=_____________________),Thursday,2021,4,8,NA,NA,NA,"254 E 203RD STREET, 12FT W/OF SOUTH ST,BROOKLYN","254 E 203rd St,12ft W/of South St,BROOKLYN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=254 E 203RD STREET, 12FT W/OF SOUTH ST,BROOKLYN&size=50",,40.873288,-73.884606
KFK3165,NY,PAS,1473016733,2021-06-12,11,51A,FIRE HYDRANT,NA,115,0,0,0,0,115,122,Staten Island,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMTZRWGhPYW1ONlRYYzlQUT09&locationName=_____________________),Saturday,2021,6,12,NA,NA,NA,"120 W BURNSIDE AVENUE, 15FT W/OF BROADWAY,STATEN ISLAND","120 W Burnside Ave,15ft W/of Broadway,STATEN ISLAND,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=120 W BURNSIDE AVENUE, 15FT W/OF BROADWAY,STATEN ISLAND&size=50",,40.853588,-73.913615
KKP6457,NY,PAS,1473038133,2021-05-30,2,55A,FIRE HYDRANT,NA,115,0,0,0,0,115,123,Staten Island,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMTZRWHBQUkVWNlRYYzlQUT09&locationName=_____________________),Sunday,2021,5,30,NA,NA,NA,"2023 GRAND AVENUE, 15FT W/OF CROSBY STREET, STATEN ISLAND","2023 Grand Ave,15ft W/of Crosby St,STATEN ISLAND,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=2023 GRAND AVENUE, 15FT W/OF CROSBY STREET, STATEN ISLAND&size=50",,40.853737,-73.909953
JCN4400,NY,PAS,1473194039,2021-09-25,14,11P,FIRE HYDRANT,NA,115,0,0,0,0,115,001,Manhattan,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMTZSVFZPUkVGNlQxRTlQUT09&locationName=_____________________),Saturday,2021,9,25,SDN,2019,10 SULLIVAN ST,"2260 CROTONA AVENUE, 10FT N/OF CHAMBERS S,MANHATTAN","2260 Crotona Ave,10ft N/of Chambers S,MANHATTAN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=2260 CROTONA AVENUE, 10FT N/OF CHAMBERS S,MANHATTAN&size=50",,40.851162,-73.884469
JPC4639,NY,PAS,1473333180,2021-01-30,17,28P,FIRE HYDRANT,NA,115,0,0,0,0,115,017,Manhattan,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMTZUWHBOZWtVMFRVRTlQUT09&locationName=_____________________),Saturday,2021,1,30,NA,NA,NA,"W 21ST AVENUE, 30FT E/OF VICTORYBOULEVARD, MANHATTAN","W 21st Ave,30ft E/of Victory Bl,MANHATTAN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=W 21ST AVENUE, 30FT E/OF VICTORYBOULEVARD, MANHATTAN&size=50",,40.77277,-73.990303
HRJ7147,NY,PAS,1473334573,2021-04-22,16,40P,FIRE HYDRANT,NA,115,0,0,0,115,0,017,Manhattan,POLICE DEPARTMENT,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMTZUWHBPUkZVelRYYzlQUT09&locationName=_____________________),Thursday,2021,4,22,NA,NA,NA,"324 E TREMONT AVENUE, 0FT N/OF 39TH AVE,MANHATTAN","324 E Tremont Ave,0ft N/of 39th Ave,MANHATTAN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=324 E TREMONT AVENUE, 0FT N/OF 39TH AVE,MANHATTAN&size=50",,40.848172,-73.902307
999383R,NY,PAS,1473365247,2021-09-16,9,20A,FIRE HYDRANT,NA,115,0,0,0,0,115,014,Manhattan,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMTZUVEpPVkVrd1RuYzlQUT09&locationName=_____________________),Thursday,2021,9,16,SDN,2012,311 WEST 35 STREET,"2525 MORRIS AVENUE, 10FT E/OF PEARL STREET, MANHATTAN","2525 Morris Ave,10ft E/of Pearl St,MANHATTAN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=2525 MORRIS AVENUE, 10FT E/OF PEARL STREET, MANHATTAN&size=50",,40.864016,-73.898983
HVR8588,NY,PAS,1473461868,2021-07-03,1,44A,FIRE HYDRANT,NA,115,0,0,0,0,115,010,Manhattan,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMTZVVEpOVkdjeVQwRTlQUT09&locationName=_____________________),Saturday,2021,7,3,SUBN,2015,527 WEST 29 STREET,"2444 VALENTINE AVENUE, 40FT E/OF RIDGE STREET, MANHATTAN","2444 Valentine Ave,40ft E/of Ridge St,MANHATTAN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=2444 VALENTINE AVENUE, 40FT E/OF RIDGE STREET, MANHATTAN&size=50",,40.860472,-73.89634
JDM2620,NY,PAS,1474187377,2021-06-13,5,00A,FIRE HYDRANT,NA,115,0,0,0,0,115,030,Manhattan,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wNUVSVFJPZWswelRuYzlQUT09&locationName=_____________________),Sunday,2021,6,13,NA,NA,NA,"1448 COMMERCE AVENUE, 60FT N/OF E 179TH STREET, MANHATTAN","1448 Commerce Ave,60ft N/of E 179th St,MANHATTAN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=1448 COMMERCE AVENUE, 60FT N/OF E 179TH STREET, MANHATTAN&size=50",,40.839666,-73.842424
JR67368,NY,PAS,1474204430,2021-01-03,8,06A,FIRE HYDRANT,NA,115,0,0,0,0,115,033,Manhattan,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wNUVTWGRPUkZGNlRVRTlQUT09&locationName=_____________________),Sunday,2021,1,3,NA,NA,NA,"2755 RESERVOIR AVENUE, 15FT E/OF 86TH STREET, MANHATTAN","2755 Reservoir Ave,15ft E/of 86th St,MANHATTAN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=2755 RESERVOIR AVENUE, 15FT E/OF 86TH STREET, MANHATTAN&size=50",,40.870115,-73.898936
KHL1047,NY,PAS,1475058184,2021-03-28,15,11P,FIRE HYDRANT,NA,115,0,0,0,0,115,014,Manhattan,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wNVVRVEZQUkVVMFRrRTlQUT09&locationName=_____________________),Sunday,2021,3,28,NA,NA,NA,"3020 AVENUE Y,W BURNSIDE AVENUE, MANHATTAN","3020 Avenue Y,W BURNSIDE AVE,MANHATTAN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=3020 AVENUE Y,W BURNSIDE AVENUE, MANHATTAN&size=50",,40.59183,-73.936714
KEV4532,NY,PAS,1476057503,2021-09-22,2,14A,FIRE HYDRANT,NA,115,0,0,0,0,115,043,Bronx,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wNXFRVEZPZWxWM1RYYzlQUT09&locationName=_____________________),Wednesday,2021,9,22,SDN,0,2125 RANDALL AVE,"724 E 82ND STREET, UNTHER AVENUE, BRONX","724 E 82nd St,UNTHER AVE,BRONX,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=724 E 82ND STREET, UNTHER AVENUE, BRONX&size=50",,40.6374,-73.913153
KJF7033,NY,PAS,1476125752,2021-01-12,21,29P,FIRE HYDRANT,NA,115,0,0,0,0,115,040,Bronx,POLICE DEPARTMENT,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wNXFSWGxPVkdNeFRXYzlQUT09&locationName=_____________________),Tuesday,2021,1,12,NA,NA,NA,"1081 BRIGHTON BEACH AVENUE, 8FT E/OF KENT AVE,BRONX","1081 Brighton Beach Ave,8ft E/of Kent Ave,BRONX,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=1081 BRIGHTON BEACH AVENUE, 8FT E/OF KENT AVE,BRONX&size=50",,40.578348,-73.957095
KKP4501,NY,PAS,1477624570,2021-04-26,13,45P,FIRE HYDRANT,NA,115,0,0,0,0,115,061,Brooklyn,FIRE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wNTZXWGxPUkZVelRVRTlQUT09&locationName=_____________________),Monday,2021,4,26,NA,NA,NA,"2024 BENEDICT AVENUE, 10FT N/OF GRAND STREET, BROOKLYN","2024 Benedict Ave,10ft N/of Grand St,BROOKLYN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=2024 BENEDICT AVENUE, 10FT N/OF GRAND STREET, BROOKLYN&size=50",,40.834136,-73.856819
HTA4227,NY,PAS,1479596840,2021-06-17,12,57A,FIRE HYDRANT,NA,115,0,0,0,0,115,060,Brooklyn,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wOVVWVFZPYW1jd1RVRTlQUT09&locationName=_____________________),Thursday,2021,6,17,SDN,2017,208 BAY 49 ST,"1153 WHEELER AVENUE, 100FT W/OF 5TH AVE,BROOKLYN","1153 Wheeler Ave,100ft W/of 5th Ave,BROOKLYN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=1153 WHEELER AVENUE, 100FT W/OF 5TH AVE,BROOKLYN&size=50",,40.827428,-73.880113
KJM5850,NY,PAS,1480626016,2021-07-09,9,31A,FIRE HYDRANT,NA,115,0,0,0,0,115,069,Brooklyn,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FMUVXWGxPYWtGNFRtYzlQUT09&locationName=_____________________),Friday,2021,7,9,SUBN,2018,1328 E 100 ST,"10 E KINGSBRIDGE RD,50FT N/OF E 135TH STREET, BROOKLYN","10 E Kingsbridge Rd,50ft N/of E 135th St,BROOKLYN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=10 E KINGSBRIDGE RD,50FT N/OF E 135TH STREET, BROOKLYN&size=50",,40.867137,-73.897148
KJC7021,NY,PAS,1480968213,2021-04-14,1,59A,FIRE HYDRANT,NA,115,0,0,0,0,115,028,Manhattan,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FMUVhekpQUkVsNFRYYzlQUT09&locationName=_____________________),Wednesday,2021,4,14,NA,NA,NA,"1257 55TH STREET, E,MANHATTAN","1257 55th St,E,MANHATTAN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=1257 55TH STREET, E,MANHATTAN&size=50",,40.632276,-73.996165
JPT3283,NY,PAS,1481699593,2021-05-14,2,45A,FIRE HYDRANT,NA,115,0,0,0,0,115,070,Brooklyn,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FMVVXVFZQVkZVMVRYYzlQUT09&locationName=_____________________),Friday,2021,5,14,NA,NA,NA,"1700 CROTONA PARK,300FT W/OF COLUMBUS,BROOKLYN","1700 Crotona Park,300ft W/of Columbus,BROOKLYN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=1700 CROTONA PARK,300FT W/OF COLUMBUS,BROOKLYN&size=50",,40.840503,-73.897729
KDD1562,NY,PAS,1481861475,2021-05-07,5,53A,FIRE HYDRANT,NA,115,0,0,0,0,115,104,Queens,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FMVVaekpOVkZFelRsRTlQUT09&locationName=_____________________),Friday,2021,5,7,NA,NA,NA,"1330 WEBSTER AVENUE, 2FT E/OF 5TH AVE,QUEENS","1330 Webster Ave,2ft E/of 5th Ave,QUEENS,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=1330 WEBSTER AVENUE, 2FT E/OF 5TH AVE,QUEENS&size=50",,40.834102,-73.908047
JNR9358,NY,PAS,1481866564,2021-06-21,2,31A,FIRE HYDRANT,NA,115,0,0,0,0,115,104,Queens,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FMVVaekpPYWxVeVRrRTlQUT09&locationName=_____________________),Monday,2021,6,21,NA,NA,NA,"1130 COLGATE AVENUE, 416FT E/OF ADAM CLAY,QUEENS","1130 Colgate Ave,416ft E/of Adam Clay,QUEENS,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=1130 COLGATE AVENUE, 416FT E/OF ADAM CLAY,QUEENS&size=50",,40.82665,-73.881311
HLC5740,NY,PAS,1481977179,2021-06-07,9,54A,FIRE HYDRANT,NA,115,0,0,0,0,115,109,Queens,POLICE DEPARTMENT,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FMVVhek5PZWtVelQxRTlQUT09&locationName=_____________________),Monday,2021,6,7,NA,NA,NA,"155 E 47TH STREET, 90FT E/OF 5TH AVENUE, QUEENS","155 E 47th St,90ft E/of 5th Ave,QUEENS,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=155 E 47TH STREET, 90FT E/OF 5TH AVENUE, QUEENS&size=50",,40.754635,-73.972273
785446R,NY,PAS,1482038523,2021-02-20,12,17A,FIRE HYDRANT,NA,115,0,0,0,0,115,034,Manhattan,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FMXFRWHBQUkZWNVRYYzlQUT09&locationName=_____________________),Saturday,2021,2,20,NA,NA,NA,"1403 ROYCE STREET, @ B 77TH ST,MANHATTAN","1403 Royce St,@ B 77TH ST,MANHATTAN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=1403 ROYCE STREET, @ B 77TH ST,MANHATTAN&size=50",,40.624726,-73.909707
Y104152C,NY,PAS,1482123411,2021-03-13,8,50A,FIRE HYDRANT,NA,115,0,0,115,0,0,063,Brooklyn,POLICE DEPARTMENT,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FMXFSWGxOZWxGNFRWRTlQUT09&locationName=_____________________),Saturday,2021,3,13,NA,NA,NA,"147 E HOUSTON STREET, 0FT W/OF HICKS ST,BROOKLYN","147 E Houston St,0ft W/of Hicks St,BROOKLYN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=147 E HOUSTON STREET, 0FT W/OF HICKS ST,BROOKLYN&size=50",,40.722967,-73.989691
JAB2983,NY,PAS,1482654015,2021-05-30,7,05A,FIRE HYDRANT,NA,115,0,0,0,0,115,067,Brooklyn,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FMXFXVEZPUkVGNFRsRTlQUT09&locationName=_____________________),Sunday,2021,5,30,NA,NA,NA,"2307 ARTHUR AVENUE, 5FT S/OF E 117TH STREET, BROOKLYN","2307 Arthur Ave,5ft S/of E 117th St,BROOKLYN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=2307 ARTHUR AVENUE, 5FT S/OF E 117TH STREET, BROOKLYN&size=50",,40.853788,-73.889329
