"plate","state","license_type","summons_number","issue_date","violation_time","violation","judgment_entry_date","fine_amount","penalty_amount","interest_amount","reduction_amount","payment_amount","amount_due","precinct","county","issuing_agency","violation_status","summons_image"
"KDF4122","NY","PAS",8983837123,"09/18/2021","10:32A","INSP. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"070","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FMTZaM3BPZWtWNVRYYzlQUT09&locationName=_____________________)"
"KKG1651","NY","PAS",8853290808,"10/22/2021","08:31A","DOUBLE PARKING",NA,115,0,0,0,0,115,"114","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VMTZTVFZOUkdkM1QwRTlQUT09&locationName=_____________________)"
"KGC8665","NY","PAS",8957956840,"03/23/2021","06:56A","CROSSWALK",NA,115,0,0,0,0,115,"040","BX","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VNTZhekZPYW1jd1RVRTlQUT09&locationName=_____________________)"
"HPZ1941","NY","PAS",1482239670,"03/11/2021","08:42A","NO PARKING-STREET CLEANING",NA,65,0,0,0,0,65,"066","K","DEPARTMENT OF SANITATION","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FMXFTWHBQVkZrelRVRTlQUT09&locationName=_____________________)"
"KNV6845","NY","PAS",8980099770,"10/29/2021","01:56P","NO STANDING-EXC. TRUCK LOADING",NA,95,0,0,0,0,95,"078","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FMUVRVFZQVkdNelRVRTlQUT09&locationName=_____________________)"
"HHJ7488","NY","PAS",8941704340,"03/15/2021","01:48A","NO STANDING-DAY/TIME LIMITS",NA,115,0,0,0,0,115,"023","NY","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1FMVVZM2RPUkUwd1RVRTlQUT09&locationName=_____________________)"
"JAJ1951","NY","PAS",8963135512,"08/20/2021","11:17A","NO STANDING-BUS STOP",NA,115,0,0,0,0,115,"049","BX","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rMTZSWHBPVkZWNFRXYzlQUT09&locationName=_____________________)"
"JHN3862","NY","PAS",8918474234,"07/02/2021","09:02A","REG. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"005","NY","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFOUVVVE5PUkVsNlRrRTlQUT09&locationName=_____________________)"
"DZM8210","NY","PAS",8975650479,"03/03/2021","10:03A","FIRE HYDRANT",NA,115,0,0,0,115,0,"066","K","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wNVVXVEZOUkZFelQxRTlQUT09&locationName=_____________________)"
"HAA4131","NY","PAS",8819339092,"01/06/2021","08:49A","INSP. STICKER-EXPIRED/MISSING",NA,65,0,0,0,65,0,"120","R","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVUWHBQVkVFMVRXYzlQUT09&locationName=_____________________)"
"JJT8509","NY","PAS",2004022530,"10/22/2021","10:20A","NO PARKING-STREET CLEANING",NA,65,0,0,0,0,65,"034","NY","DEPARTMENT OF SANITATION","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmQwNUVRWGxOYWxWNlRVRTlQUT09&locationName=_____________________)"
"855375R","NY","PAS",8842775046,"01/12/2021","08:14A","REG. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"120","R","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FMXFZek5PVkVFd1RtYzlQUT09&locationName=_____________________)"
"JLG4128","NY","PAS",4019570474,"09/19/2021","04:57P","BUS LANE VIOLATION",NA,50,0,0,0,0,50,"000","MN","DEPARTMENT OF TRANSPORTATION","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmVFOVVWVE5OUkZFelRrRTlQUT09&locationName=_____________________)"
"GYH6943","NY","PAS",8829448023,"08/16/2021","07:43A","NO PARKING-STREET CLEANING",NA,65,0,0,0,0,65,"102","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVVOVVVVEJQUkVGNVRYYzlQUT09&locationName=_____________________)"
"DHG3071","NY","PAS",8623092168,"08/27/2021","05:13P","NO STANDING-EXC. TRUCK LOADING",NA,95,0,0,0,0,95,"046","BX","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVMTZRVFZOYWtVeVQwRTlQUT09&locationName=_____________________)"
"GMX4423","NY","PAS",8834835232,"01/28/2021","08:04A","CROSSWALK",NA,115,0,0,0,115,0,"023","NY","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNUVaM3BPVkVsNlRXYzlQUT09&locationName=_____________________)"
"KDR5698","NY","PAS",8979405546,"03/19/2021","12:56P","INSP. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"067","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wOVVVWGRPVkZVd1RtYzlQUT09&locationName=_____________________)"
"KEU5401","NY","PAS",8881008270,"01/18/2021","07:20A","FIRE HYDRANT",NA,115,0,0,0,0,115,"115","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5FMVVRWGRQUkVrelRVRTlQUT09&locationName=_____________________)"
"FZD9360","NY","PAS",8899951147,"01/28/2021","11:15A","NO PARKING-STREET CLEANING",NA,65,0,0,0,0,65,"007","NY","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5VOVVhekZOVkVVd1RuYzlQUT09&locationName=_____________________)"
"JGT2617","NY","PAS",8857000175,"02/17/2021","12:28P","EXPIRED MUNI METER",NA,35,0,0,0,0,35,"066","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VNTZRWGROUkVVelRsRTlQUT09&locationName=_____________________)"
"HPX2878","NY","PAS",8975907429,"05/27/2021","10:10A","REG. STICKER-EXPIRED/MISSING",NA,65,0,0,0,65,0,"070","K","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wNVVhM2RPZWxGNVQxRTlQUT09&locationName=_____________________)"
"KDX8796","NY","PAS",8953644148,"10/04/2021","02:10P","INSP. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"034","NY","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VMTZXVEJPUkVVd1QwRTlQUT09&locationName=_____________________)"
"76BG01","NY","PAS",2000903332,"06/16/2021","08:45A","NO PARKING-STREET CLEANING",NA,65,0,0,65,0,0,"047","Bronx","DEPARTMENT OF SANITATION","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmQwMUVhM2ROZWsxNlRXYzlQUT09&locationName=_____________________)"
"JGH3993","NY","PAS",8963251172,"03/03/2021","10:28A","REG. STICKER-EXPIRED/MISSING",NA,65,0,0,0,65,0,"049","BX","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rMTZTVEZOVkVVelRXYzlQUT09&locationName=_____________________)"
"JBA8940","NY","PAS",1481551450,"02/25/2021","08:10A","NO PARKING-STREET CLEANING",NA,65,0,0,0,0,65,"044","BX","DEPARTMENT OF SANITATION","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FMVVWVEZOVkZFeFRVRTlQUT09&locationName=_____________________)"
"JMU9293","NY","PAS",8905162915,"09/09/2021","10:26A","INSP. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"112","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwNVVSVEpOYW10NFRsRTlQUT09&locationName=_____________________)"
"DWS7878","NY","PAS",8989071641,"11/01/2021","12:02P","FIRE HYDRANT",NA,115,0,0,0,0,115,"084","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FOVVRVE5OVkZrd1RWRTlQUT09&locationName=_____________________)"
"KJA3305","NY","PAS",8885323121,"04/05/2021","06:05P","INSP. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"102","Q","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5FNVVUWGxOZWtWNVRWRTlQUT09&locationName=_____________________)"
"GKW4412","NY","PAS",8829588696,"04/07/2021","07:28A","NO STANDING-DAY/TIME LIMITS",NA,115,0,0,115,0,0,"107","Q","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVVOVVWVFJQUkZrMVRtYzlQUT09&locationName=_____________________)"
"JPS8428","NY","PAS",8906176510,"09/29/2021","02:08A","NO STANDING-DAY/TIME LIMITS",NA,115,0,0,0,0,115,"067","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwNXFSVE5PYWxWNFRVRTlQUT09&locationName=_____________________)"
"HMC2519","NY","PAS",8963305259,"03/26/2021","11:06A","REG. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"052","BX","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rMTZUWGRPVkVreFQxRTlQUT09&locationName=_____________________)"
"KRS8344","NY","PAS",8957412700,"10/15/2021","03:12P","NO PARKING-DAY/TIME LIMITS",NA,60,0,0,0,0,60,"108","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VNTZVWGhOYW1OM1RVRTlQUT09&locationName=_____________________)"
"KLN3042","NY","PAS",8867475538,"08/11/2021","02:47P","REG. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"105","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1rNTZVVE5PVkZWNlQwRTlQUT09&locationName=_____________________)"
"GWJ4163","NY","PAS",8847267020,"01/04/2021","12:14P","NO PARKING-STREET CLEANING",NA,65,0,0,0,0,65,"102","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FNTZTVEpPZWtGNVRVRTlQUT09&locationName=_____________________)"
"KLV4138","NY","PAS",8920926347,"07/21/2021","03:03P","NO STANDING-COMM METER ZONE",NA,115,0,0,0,0,115,"005","NY","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVVMUVhM2xPYWswd1RuYzlQUT09&locationName=_____________________)"
"KDD1155","NY","PAS",8837124284,"04/09/2021","04:28P","FAIL TO DSPLY MUNI METER RECPT",NA,35,0,0,0,0,35,"106","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNTZSWGxPUkVrMFRrRTlQUT09&locationName=_____________________)"
"KPJ1761","NY","PAS",8899849857,"09/16/2021","06:53A","CROSSWALK",NA,115,0,0,0,115,0,"007","NY","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5VOVVaekJQVkdjeFRuYzlQUT09&locationName=_____________________)"
"KPH6363","NY","PAS",8986557083,"10/28/2021","06:59A","FIRE HYDRANT",NA,115,0,0,0,0,115,"079","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FNXFWVEZPZWtFMFRYYzlQUT09&locationName=_____________________)"
"JMD8822","NY","PAS",8978738989,"10/29/2021","01:04P","INSP. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"067","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wOUVZM3BQUkdzMFQxRTlQUT09&locationName=_____________________)"
"EDH5860","NY","PAS",8820215019,"01/08/2021","10:42A","NO STANDING-EXC. TRUCK LOADING",NA,95,0,0,95,0,0,"109","Q","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVVMUVTWGhPVkVGNFQxRTlQUT09&locationName=_____________________)"
"638484","NY","PAS",8861530564,"01/12/2021","09:38A","NO PARKING-STREET CLEANING",NA,65,0,0,0,0,65,"060","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1rMVVWWHBOUkZVeVRrRTlQUT09&locationName=_____________________)"
"JRD8521","NY","PAS",8948895278,"10/28/2021","11:48A","NO PARKING-STREET CLEANING",NA,65,0,0,0,0,65,"020","NY","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1FOUVaelZPVkVrelQwRTlQUT09&locationName=_____________________)"
"JLR5342","NY","PAS",8809331096,"01/30/2021","08:46A","FRONT OR BACK PLATE MISSING",NA,65,0,0,0,0,65,"047","BX","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmQwOVVUWHBOVkVFMVRtYzlQUT09&locationName=_____________________)"
"JEN1231","NY","PAS",8992407087,"04/28/2021","03:00P","NO STANDING-DAY/TIME LIMITS",NA,115,0,0,0,0,115,"090","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VMXFVWGRPZWtFMFRuYzlQUT09&locationName=_____________________)"
"KDK8953","NY","PAS",8912912471,"05/06/2021","09:14A","NO STANDING-COMM METER ZONE",NA,115,0,0,0,0,115,"013","NY","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFMXFhM2hOYWxFelRWRTlQUT09&locationName=_____________________)"
"JGZ9791","NY","PAS",8903086594,"11/05/2021","10:52A","EXPIRED MUNI METER",NA,35,0,0,35,0,0,"103","Q","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwMTZRVFJPYWxVMVRrRTlQUT09&locationName=_____________________)"
"ECT6836","NY","PAS",8870632805,"08/06/2021","09:03A","DOUBLE PARKING",NA,115,0,0,0,0,115,"114","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk0wMUVXWHBOYW1kM1RsRTlQUT09&locationName=_____________________)"
"KLT8026","NY","PAS",8832970820,"10/22/2021","10:44P","NO STANDING-BUS STOP",NA,115,0,0,0,0,115,"007","NY","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrMXFhek5OUkdkNVRVRTlQUT09&locationName=_____________________)"
"FXP6591","NY","PAS",8860765857,"01/09/2021","09:51A","INSP. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"048","BX","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1rMUVZekpPVkdjeFRuYzlQUT09&locationName=_____________________)"
"HMK2018","NY","PAS",8885364421,"07/02/2021","01:10P","NO STANDING-DAY/TIME LIMITS",NA,115,0,0,0,115,0,"115","Q","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5FNVVUVEpPUkZGNVRWRTlQUT09&locationName=_____________________)"
"KRK9542","NY","PAS",8966529240,"08/31/2021","03:56P","FAIL TO DSPLY MUNI METER RECPT",NA,35,0,0,0,0,35,"045","BX","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rNXFWWGxQVkVrd1RVRTlQUT09&locationName=_____________________)"
"GVH2967","NY","PAS",8935108716,"05/15/2021","04:09P","NO STANDING-DAY/TIME LIMITS",NA,115,0,0,0,0,115,"018","NY","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVrNVVSWGRQUkdONFRtYzlQUT09&locationName=_____________________)"
"GSU8504","NY","PAS",8888348736,"08/05/2021","11:40A","FRONT OR BACK PLATE MISSING",NA,65,0,0,0,0,65,"110","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5FOUVUVEJQUkdONlRtYzlQUT09&locationName=_____________________)"
"FZF7365","NY","PAS",8878701490,"01/13/2021","12:56P","FAIL TO DSPLY MUNI METER RECPT",NA,35,0,0,35,0,0,"109","Q","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk0wOUVZM2ROVkZFMVRVRTlQUT09&locationName=_____________________)"
"JHG4059","NY","PAS",8960331442,"06/26/2021","07:07A","REG. STICKER-EXPIRED/MISSING",NA,65,0,0,65,0,0,"048","BX","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rMUVUWHBOVkZFd1RXYzlQUT09&locationName=_____________________)"
"HUL1921","NY","PAS",8967646185,"09/20/2021","01:41P","FRONT OR BACK PLATE MISSING",NA,65,0,0,0,0,65,"049","BX","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rNTZXVEJPYWtVMFRsRTlQUT09&locationName=_____________________)"
"JNF5540","NY","PAS",8952410415,"04/22/2021","11:02A","IMPROPER REGISTRATION",NA,65,0,0,65,0,0,"019","NY","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VMXFVWGhOUkZGNFRsRTlQUT09&locationName=_____________________)"
"JJS1689","NY","PAS",2003163300,"08/07/2021","08:27A","NO PARKING-STREET CLEANING",NA,65,0,0,0,0,65,"034","NY","DEPARTMENT OF SANITATION","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmQwMTZSVEpOZWsxM1RVRTlQUT09&locationName=_____________________)"
"JJM3393","NY","PAS",1478435460,"04/01/2021","10:11A","NO STANDING-BUS STOP",NA,115,0,0,115,0,0,"042","BX","PARKS DEPARTMENT","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wOUVVWHBPVkZFeVRVRTlQUT09&locationName=_____________________)"
"KJJ8249","NY","PAS",8961880196,"07/23/2021","09:48A","NO PARKING-DAY/TIME LIMITS",NA,60,0,0,0,0,60,"046","BX","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rMVVaelJOUkVVMVRtYzlQUT09&locationName=_____________________)"
"HJD6320","NY","PAS",4723226576,"02/15/2021","05:55P","PHTO SCHOOL ZN SPEED VIOLATION",NA,50,0,0,0,50,0,"000","MN","DEPARTMENT OF TRANSPORTATION","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSamVVMTZTWGxPYWxVelRtYzlQUT09&locationName=_____________________)"
"A1Y7393","NY","PAS",1477935101,"09/08/2021","04:10P","NO STANDING-DAY/TIME LIMITS",NA,115,0,0,0,0,115,"017","NY","POLICE DEPARTMENT","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wNTZhM3BPVkVWM1RWRTlQUT09&locationName=_____________________)"
"GDB2005","NY","PAS",8857522945,"01/31/2021","07:39A","INSP. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"066","K","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VNTZWWGxOYW1zd1RsRTlQUT09&locationName=_____________________)"
